Commodity,Year,Jan,Feb,Mar,April,May,Jun,July,Aug,Sep,Oct,Nov,Dec
Rice,2023,43.77,43.66,43.12,43.82,44.39,44.63,46.06,47.08,47.55,48.43,48.66,49.32
Rice,2022,34.06,35.25,35.21,35.68,35.9,37.43,38.68,39.37,40.79,40.49,40.37,41.71
Rice,2021,38.57,39.58,39.7,39.21,40.35,36.53,35.76,35.36,37.97,38.09,36.89,35.08
Rice,2020,39.32,39.56,40.05,40.73,41.06,42.91,42.15,42.83,42.74,42.51,42.74,41.8
Rice,2019,36.26,36.18,35.83,35.4,35.92,36.5,36.94,37.45,38.03,38.16,38.9,39.29
Rice,2018,34.75,34.93,35.02,35.34,35.58,35.55,35.54,35.65,35.47,35.08,35.56,36.31
Rice,2017,32.56,32.93,32.62,33.13,33.43,33.62,33.59,34.68,34.68,34.89,34.15,34
Rice,2016,29.17,30.66,31,31.13,33.16,33.62,34.23,32.08,31.48,30.82,31.76,32.09
Rice,2015,27.63,28.21,28,28,28.66,29.11,28.89,28.5,28.5,28.5,28.5,28.5
Rice,2014,29.49,29.71,29.76,30,29.06,29,29.14,29.03,29,29.97,29.42,29.48
Gram Dal,2023,69.94,69.42,69.62,71.08,71.81,71.82,72.18,74.23,80.34,83.4,84.87,84.18
Gram Dal,2022,75.83,75.28,72.55,72.71,73.46,71.7,70.98,71.44,68.78,69.72,71.26,70.27
Gram Dal,2021,76.33,70.61,72.72,77.03,83.18,78.74,73.75,75.84,77.92,75.85,79.1,77.58
Gram Dal,2020,68.51,68.11,67.42,74.75,76.18,76.54,78.86,77.19,79.05,83.76,82.67,79.84
Gram Dal,2019,71.03,68.04,65.87,65.39,67.8,69.09,67.27,65.6,65.47,65.56,67.76,68.56
Gram Dal,2018,72.45,68.6,66.35,65.68,64.52,63.45,63.76,67.22,67.32,66.63,67.47,70.4
Gram Dal,2017,110,91.54,80.04,86.52,85.44,82.93,78.37,80.18,85.77,82.04,76.92,76.07
Gram Dal,2016,68.43,66.61,66.09,68.73,73.46,78.18,95.89,104.76,106.49,128.33,132.01,127.92
Gram Dal,2015,46.17,47.91,47.98,48.34,56.76,63.47,62.54,63.17,65.05,67.27,67.45,68.05
Gram Dal,2014,52.79,53.8,50.38,54.92,53.61,50.98,48.89,48.63,45.9,45.87,45.39,44.82
Tur Dal,2023,117.17,117.48,119.94,121.92,126.26,136.21,147.27,152.96,163.81,171.31,173.88,170.34
Tur Dal,2022,101.78,104.66,106.91,107.06,106.06,104.32,106.47,114.72,114.77,115.76,117.98,117.13
Tur Dal,2021,100.91,96.42,104.43,109.9,111.73,108.7,106.22,108.67,112.56,112.32,110.51,106
Tur Dal,2020,87.01,86.86,86.87,94.83,97.67,96.72,96.8,96.08,96.78,104.18,105.97,103.44
Tur Dal,2019,72.61,74.6,74.23,75.67,79.09,83.74,85.81,86.67,86.2,84.85,84.58,87.12
Tur Dal,2018,68.4,68.95,68.75,68.28,67.86,65.33,64.76,65.09,64.79,65.35,67.2,70.82
Tur Dal,2017,89.1,81.29,75.75,77.36,73.01,69.27,66.94,70.47,73.87,72.58,70.13,69.2
Tur Dal,2016,147.7,146.83,141.73,142,142.45,143.19,141.14,118.5,104.26,113.15,114.42,104.81
Tur Dal,2015,75.88,77.62,79.6,81.29,96.84,104.97,105.62,112.72,125.75,146.17,145.97,145.67
Tur Dal,2014,78.92,78.23,77.82,78,78.44,75.53,73.3,73.6,74.33,74.13,74.5,74.93
Masoor Dal,2023,98.52,96.94,95.51,96.05,96.66,95.98,96.18,96.35,98.4,97.95,97.71,96.48
Masoor Dal,2022,97.22,97.95,98.8,98.54,100.71,100.59,100.09,100.59,97.05,96.73,97.79,98.29
Masoor Dal,2021,76.81,78.19,80.6,81.64,90.68,92.85,93.39,92.87,96.22,94.33,99.51,98.4
Masoor Dal,2020,64.71,66.74,67.33,76.63,80.24,80.28,80.75,79.19,77.68,75.94,75.94,75.65
Masoor Dal,2019,59.64,59.71,59.6,59.89,60.46,61.33,61.57,60.59,60.17,60.42,61.35,62.59
Masoor Dal,2018,58.53,58.21,57.55,58.17,57.8,57.37,57,59.02,60.44,60.93,60.66,60.69
Masoor Dal,2017,74.04,72.93,69.36,71.1,69.61,66.22,60.03,58.57,61.49,59.75,59.8,60.52
Masoor Dal,2016,80.99,79.2,78.97,79.68,82.22,82.31,82.84,79.76,79.21,80.17,78.88,76.52
Masoor Dal,2015,73.28,76.29,77.1,76.5,80.43,83.45,83.46,83.17,83.9,84.45,86.47,85.1
Masoor Dal,2014,58.18,64.09,62.21,65.86,66.39,66.58,67.45,69.09,70,70,70.11,70.77
Groundnut Oil,2023,184.19,185.32,186.23,186.25,186.32,184.83,186.07,190.08,190.67,189.8,188.25,186.82
Groundnut Oil,2022,169.6,173.07,183.58,184.39,187.92,187.25,187.42,188.86,184.22,183.94,184.89,182.79
Groundnut Oil,2021,162.45,164.13,169.34,177.09,176.78,175.04,175.57,179.07,182.98,180.1,170.09,170.71
Groundnut Oil,2020,126.74,128.37,132.06,139.17,147.42,150.16,148.14,144.75,145.82,148.48,154.07,156.78
Groundnut Oil,2019,121.83,121.31,121.31,121.19,122.33,123.56,125.48,124.94,123.39,122.85,122.28,123.81
Groundnut Oil,2018,119.93,117.73,117.96,119.42,120,118.83,118.83,121.2,120.72,120.38,122.82,122.35
Groundnut Oil,2017,125.52,125.42,125.34,125.06,125.32,123.36,121.81,118.98,117.64,119.16,119.63,120.94
Groundnut Oil,2016,114.83,116.17,117.05,119.58,125.11,126.22,129.85,131.31,129.45,126,124.83,125.89
Groundnut Oil,2015,123.15,121.89,120.9,121.42,121.39,120.82,120.39,120.72,122.25,120.05,119.45,119.37
Groundnut Oil,2014,124.33,122.34,122.09,121.46,122.31,118.85,117.43,115.97,117.44,119.67,121.56,120.82
Wheat,2023,37.92,38.65,37.08,36.9,36.57,36.8,36.95,37.84,38.22,38.66,39.84,40.22
Wheat,2022,31.73,32.31,32.84,33.82,33.94,33.9,33.06,34.15,33.78,33.81,35.23,36.64
Wheat,2021,33.95,30.44,30.35,32.23,34.37,33.32,33.92,33.39,31.12,31.3,32.12,32.35
Wheat,2020,33.04,34.13,33.45,34.33,34.25,35.46,35.25,34.23,33.33,33.89,34.77,35.8
Wheat,2019,28.92,29.7,29.57,28.95,28.96,30.42,31.9,32.02,32.14,32.19,31.98,32.37
Wheat,2018,25.81,26.33,26.42,25.73,26.67,27.34,27.1,27.3,27.46,27.6,28.14,29.12
Wheat,2017,28.42,28.38,27.52,26.97,26.83,26.23,24.77,25.19,25.51,25.48,25.71,26.16
Wheat,2016,27.57,28.85,29.16,29.13,28.7,29.67,29.2,28.43,28.09,27.97,29.13,29.12
Wheat,2015,24.4,25.5,25.5,25.05,25.89,26.26,26.11,26.93,27,27,26.81,26.5
Wheat,2014,25.74,25.71,25.15,24.5,24.33,23.77,23.07,23.46,24.57,25.5,25.19,24.8
Moong Dal,2023,107.13,107.58,108.53,111.57,112.76,114.53,116.52,117.4,120.13,123.47,124.09,124.14
Moong Dal,2022,105.15,105.31,105.78,108.36,108.33,105.39,104.18,105.42,102.5,103.64,105.83,106.34
Moong Dal,2021,117.78,118.97,112.54,117.41,126.32,122.08,115.04,113.28,114.37,111.19,111.43,106.75
Moong Dal,2020,88.6,93.74,95.94,108.16,116.53,114.67,111.94,108.73,104.1,105.21,108.13,110.11
Moong Dal,2019,79.52,78.91,78.04,79.61,80.63,83.07,84.3,83.94,83.89,82.48,82.89,86.22
Moong Dal,2018,77.37,77.22,76.48,76.73,76.43,75.76,76.65,77.91,76.84,77.15,79.06,80.04
Moong Dal,2017,76.01,74.51,75.94,82.22,80.58,77.36,74.23,73.57,77.42,76.36,75.05,75.81
Moong Dal,2016,110.69,107.42,107.66,107.28,106.11,103.28,102.36,92.97,84.57,82.08,81.07,78.02
Moong Dal,2015,96.65,98.38,99.21,100.61,107.92,108.97,102.59,100.63,99.85,100.07,107.21,110.63
Moong Dal,2014,77.13,81.43,83.09,91.88,94.92,90.3,87.86,87.89,89.93,89.67,90.03,92.32
Urad Dal,2023,109.57,110.01,109.02,111.11,112.59,114.69,116.83,119.47,122.33,124.18,126.71,128.66
Urad Dal,2022,108.09,108.47,108.69,109.11,111.47,109.63,108.95,111.06,107.23,108,109,109.08
Urad Dal,2021,113.9,116.27,114.59,121.99,125.34,119.11,115.53,116.52,119.18,115.04,111.44,109.97
Urad Dal,2020,86.69,91.85,93.51,98.91,106.34,104.18,101.19,98.9,97.38,103.32,104.39,106.23
Urad Dal,2019,72.9,73.27,72.27,72,72.35,74.21,71.94,71.2,71.7,73.06,75.29,81.22
Urad Dal,2018,75.15,74.24,73.92,72.25,72.27,70.93,71.15,71.29,71.98,71.94,71.72,73.93
Urad Dal,2017,106.95,102.2,97.59,102.48,98.11,94.84,86.14,80.82,82.69,80.15,77.8,76.74
Urad Dal,2016,153.06,152.12,151.99,153.94,159.57,161.53,160.6,152.22,138.31,126.56,119.76,113.07
Urad Dal,2015,73.85,76.12,76,77,94.71,106.5,108.73,109.8,115.35,137.18,144.38,149.6
Urad Dal,2014,70.13,70.66,69.85,70,70.67,68.95,70.18,72.43,72.31,72,72,72.36
Mustard Oil,2023,179.83,178.24,177.59,177.32,173.33,169.85,166.55,161.54,160.35,158.83,158.89,157.75
Mustard Oil,2022,185.48,187.49,192.84,193.03,194.12,191.34,186.72,183.99,179.89,178.8,180.89,179.38
Mustard Oil,2021,151.07,156.96,163.22,172.35,179.78,182.04,181.04,181.15,182.09,181.4,180.66,181.62
Mustard Oil,2020,125.49,125.09,122.11,122.08,120.23,123.82,126.32,130.77,132.63,133.64,138.32,138.78
Mustard Oil,2019,123.53,121.01,119.67,119.55,118.78,118.95,118.76,118.09,117.6,117.31,118.87,121.33
Mustard Oil,2018,125.55,124.98,124.63,124.51,125.42,126.47,126.63,126.39,125.55,125.4,125.92,124.81
Mustard Oil,2017,124.31,125.56,126.74,125.85,125.15,124.18,124.9,125.87,125.85,126.41,126.27,125.97
Mustard Oil,2016,105.23,107.38,108.06,110.95,121.61,123.17,123.13,123.84,123.26,122.6,124.98,126.1
Mustard Oil,2015,99.95,99.31,98.14,98.24,98.66,100.74,100.54,100.5,100.65,102.52,104,103.83
Mustard Oil,2014,103.95,102.86,102.06,98.86,98.5,97.4,97.52,98.26,99.19,99.33,98.39,99.36
Vanaspati,2023,137.96,134.59,132.76,131.77,130.47,131.46,131.32,131.32,130.98,127.86,127.16,126.44
Vanaspati,2022,143.53,146.77,161.96,173.71,178.41,178.39,170.29,161.2,152.31,145.98,142.41,140.17
Vanaspati,2021,118.9,127.33,129.97,140.84,147.25,145.66,143.27,143.02,146.92,137.84,139.87,140.85
Vanaspati,2020,79.3,79.93,81.5,86.76,93.15,93.14,93.62,95.16,97.45,99.26,105.32,108.96
Vanaspati,2019,78.19,77.2,75.94,76.27,76.48,76.03,73.83,72.9,73.2,73.44,74.6,76.25
Vanaspati,2018,81.48,81.73,82.58,83.3,82.46,82.22,82.83,83.8,83.7,82.81,82.88,79.74
Vanaspati,2017,83.51,83.9,82.86,81.81,80.41,80.44,79.78,81.19,82.24,81.65,81.31,81.51
Vanaspati,2016,79.61,75.27,74.92,76.25,79.25,78.7,78.15,80.28,81.91,83.19,81.55,83.04
Vanaspati,2015,85.67,85.64,85.14,85.24,85.5,85.5,85.5,84.85,83.67,85.67,86.5,86.17
Vanaspati,2014,92.74,92.29,91.06,90.54,90.86,90.03,89.66,90,89.14,87.27,87.89,86.64
Soya Oil,2023,140.92,134.46,128.98,124.96,119.13,114.75,115.06,114.91,111.67,108.7,110.2,110.53
Soya Oil,2022,138.8,143.91,163.51,168.92,175.58,171.94,155.18,145.66,139.5,141.58,151.03,144.99
Soya Oil,2021,119.96,123.32,132.43,140.81,152.08,145.55,147.65,151.16,157.22,157.63,149.73,142.69
Soya Oil,2020,92.49,93.55,90.64,96.81,94.38,93.08,94.26,97.65,99.42,100.83,106.8,110.93
